day,MKRPriceChange,BATPriceChange,ZRXPriceChange,MANAPriceChange,LINKPriceChange,ENJPriceChange,WETHPriceChange,RENPriceChange,SNXPriceChange,WBTCPriceChange,UNIPriceChange,BALPriceChange,YFIPriceChange,CRVPriceChange,DPIPriceChange,USTPriceChange,RENFILPriceChange,STETHPriceChange,XSUSHIPriceChange,KNCPriceChange,ENSPriceChange,numBorrows,amountBorrowedUSD,uniqueUsersBorrows,numReservesBorrowed,numDeposits,amountDepositedUSD,uniqueUsersDeposits,numReservesDeposited,numRedeems,amountRedeemedUSD,uniqueUsersRedeems,numReservesRedeemed,numRepays,amountRepayedUSD,uniqueUsersRepays,numReservesRepayed,numLiquidations,amountCollateralLiquidatedUSD,amountPrincipalLiquidatedUSD,uniqueLiquidators,uniqueLiquidatees,numCollateralsLiquidated,numPrincipalsLiquidated,numSwaps,uniqueUsersSwaps,numReservesSwapped,numCollaterals,uniqueUsersCollaterals,numReservesCollateral,aavePrice,nextDayChangeAave,lastAavePrice,aaveChangeSinceLastHour,aaveDirectionOfChange,TUSDUtilizationRateChange,AmmUniWBTCUSDCUtilizationRateChange,RAIUtilizationRateChange,GUSDUtilizationRateChange,YFIUtilizationRateChange,BATUtilizationRateChange,MANAUtilizationRateChange,DPIUtilizationRateChange,AmmBptWBTCWETHUtilizationRateChange,UNIUtilizationRateChange,AmmWBTCUtilizationRateChange,WBTCUtilizationRateChange,AmmUniYFIWETHUtilizationRateChange,AmmUniCRVWETHUtilizationRateChange,RENUtilizationRateChange,AmmUniSNXWETHUtilizationRateChange,BUSDUtilizationRateChange,AmmGUniDAIUSDCUtilizationRateChange,LINKUtilizationRateChange,SUSDUtilizationRateChange,AmmBptBALWETHUtilizationRateChange,AmmDAIUtilizationRateChange,DAIUtilizationRateChange,AAVEUtilizationRateChange,FRAXUtilizationRateChange,XSUSHIUtilizationRateChange,AmmUniRENWETHUtilizationRateChange,PAXUtilizationRateChange,FEIUtilizationRateChange,MKRUtilizationRateChange,AmmUSDCUtilizationRateChange,USDCUtilizationRateChange,AmmUniLINKWETHUtilizationRateChange,AmmUniDAIWETHUtilizationRateChange,USTUtilizationRateChange,AmmUniDAIUSDCUtilizationRateChange,STETHUtilizationRateChange,AmmUniUSDCWETHUtilizationRateChange,AmmUniBATWETHUtilizationRateChange,BALUtilizationRateChange,AmmUniWBTCWETHUtilizationRateChange,SNXUtilizationRateChange,AmmWETHUtilizationRateChange,WETHUtilizationRateChange,ENSUtilizationRateChange,AmmUniMKRWETHUtilizationRateChange,AmmGUniUSDCUSDTUtilizationRateChange,AmmUniUNIWETHUtilizationRateChange,AMPLUtilizationRateChange,RENFILUtilizationRateChange,CRVUtilizationRateChange,AmmUSDTUtilizationRateChange,USDTUtilizationRateChange,KNCUtilizationRateChange,AmmUniAAVEWETHUtilizationRateChange,ZRXUtilizationRateChange,ENJUtilizationRateChange
2020-12-05T00:00:00Z,0.01486282312815601,0.020869761012359156,0.034381935269510056,0.062323246181748004,0.033889314903843504,0.03923284906854407,0.042518272758546916,0.03944023284768505,0.04220571471542467,0.0259860323224832,0.043519290955359224,0.029922728378543928,0.10014220442685495,0.0814471076068346,0.06044819668461909,-3.163810706268144e-4,0,0,0,0,0,127,1300353.1123545452,80,12,381,473686550.6945209,232,15,90,468198163.54456335,50,11,27,98991.80407316507,21,10,0,0,0,0,0,0,0,1,1,1,408,239,16,91.92059987,-0.04312606081342374,81.6418197,0.12590091950143045,-1,0,0,0,0,23.06076616709257,4.043624161073826,-0.9854228365798211,0,0,47.9873364436805,0,0.10872925716119353,0,0,-0.959756784740888,0,0,0,8.62114537444934,0,0,0,0,0,0,0,0,0,0,-0.6640091116173121,0,0,0,0,0,0,0,0,0,0,0,-0.3124433308309461,0,5.438225835268893,0,0,0,0,0,0,0,0,0,-0.060646359211120604,0,-0.2746909482246557,0
2020-12-06T00:00:00Z,-0.00853353170776816,0.005481136667242481,-0.016153812557786584,-0.021163137085481343,0.024243406183868332,-0.001285634677337888,0.011435233153469726,0.018330140329531286,-0.008260503233288086,0.012149238051853306,-0.00775907107277074,0.012991113079193983,-0.01896102131332056,-0.04780653964208059,-0.0014132377437283683,4.3254763027067433e-4,0,0,0,0,0,115,1293248.0826511262,82,13,354,6331355.024045998,250,17,114,4032858.794447611,59,13,42,177017.2950021848,26,9,0,0,0,0,0,0,0,5,4,2,470,263,18,87.95642649,0.03415181277676771,91.92059987,-0.04312606081342374,1,0,0,0,0,-0.4929637771468075,0,-0.01783023606228018,0,0,1.9622000140352687,0,1.0229790180904899,0,0,0.24557096350653795,0,0,0,-0.4096459096459095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565086072431298,0,1.1112687521535927,0,0,0,0,0,0,0,0,0,530.0726019713118,0,0,0
2020-12-07T00:00:00Z,-0.017198510888049023,-6.360132871197077e-5,0.010827649858543342,-0.012585187914860962,-0.030494776767554077,-0.005723359050777477,-0.018970683720066273,-0.014489821921040535,0.006495805837036128,-0.010649358729844738,0.03050364571796349,-0.022440670293912723,-0.009103892208855435,0.004844765337119972,0.00852081068480115,-5.936802529245e-4,0,0,0,0,0,150,2976723.1006814544,102,13,392,13073145.527917998,241,19,151,5718300.790840893,64,15,40,970549.164440145,29,8,0,0,0,0,0,0,0,5,3,1,520,252,20,90.9602979,-0.12108697326506879,87.95642649,0.03415181277676771,-1,0,0,0,0,10.678829251723146,-0.3127818437199674,-0.009971874200971675,0,0,0.24262986144132248,0,-0.7349660073187565,0,0,-0.008750586621421585,0,0,0,40.905765253360904,0,0,0,0,0,0,0,0,0,0,-0.9966101694915255,0,0,0,0,0,0,0,0,0,0,0,-0.2451324146303897,0,-0.06972983689660472,0,0,0,0,0,0,0,0,0,1.1943613155069484,0,0.12015492672775108,0
2020-12-08T00:00:00Z,-0.034481732545517896,-0.06773255242850118,-0.06597346621005717,-0.04773714985779365,-0.07149598811759628,-0.07565094075128631,-0.06211235128115622,-0.11115676467808433,-0.10424244401034866,-0.044286163443535975,-0.12738739150834522,-0.07939800469575775,-0.10754752572029247,-0.14165888398588933,-0.08327330757241447,-7.607872447845665e-4,0,0,0,0,0,105,3988362.73714611,76,12,328,50072495.54335663,203,16,146,49031251.10150064,79,16,67,2841365.998187681,46,10,0,0,0,0,0,0,0,5,4,2,429,213,18,79.94619074,0.027112379213278803,90.9602979,-0.12108697326506879,1,0,0,0,0,-0.3881332067393828,0,0.016012396694214726,0,0,-0.025767381743139084,0,2.8145445257102732,0,0,0.17210637104586524,0,0,0,-0.07392121116776629,0,0,0,0,0,0,0,0,0,0,-20459,0,0,0,0,0,0,0,0,0,0,0,-0.24504002784545764,0,0.06597137899212724,0,0,0,0,0,0,0,0,0,0.12889384964294304,0,-0.03743269511964353,-0.6183206073281902
2020-12-09T00:00:00Z,0.008839533285720513,-2.84421343206942e-4,0.00656767440641004,-0.005441290592344328,0.04015208384009816,0.002674118635995093,0.03644880050358634,-0.014272020359892168,0.04044509031934629,0.011118841876089913,0.021440443539467724,0.0011211264283672584,0.005455175041862326,0.04161264538444498,0.04085451472077306,1.5108264521668247e-6,0,0,0,0,0,151,1928122.2861423611,114,13,345,137367267.03531566,213,17,160,131972962.76330893,78,14,66,754757.7084282718,46,8,0,0,0,0,0,0,0,4,4,2,443,218,19,82.11372218,-0.06659015758674003,79.94619074,0.027112379213278803,-1,0,0,0,0,0.1993717008152942,0,15.84417895271988,0,0,-0.01916378637440208,0,-0.9362273106722405,0,0,0.3071985185369308,0,0,0,0.07255370246386805,0,0,0,0,0,0,0,0,0,0,0.04770749828917786,0,0,0,0,0,0,0,0,0,0,0,-0.0572168963927443,0,-0.24138520463815183,0,0,0,0,0,0,0,0,0,0.029378169775116758,0,-0.02695022786167456,0.31000035527772396
2020-12-10T00:00:00Z,0.0342409939055921,-0.04575505689225734,-0.02696645793903696,-0.02626279924889452,-0.05629448036770146,0.01175484706942398,-0.023922374370344945,-0.04854187401749199,-0.039220484322170734,-0.01513593613288744,-0.033321435856130455,-0.0244528954915485,-0.06054588979748532,-0.051329712705453945,-0.052105173519923276,0.001053794855631729,0,0,0,0,0,118,3627180.688084098,92,13,291,15671185.200867854,201,16,144,2484508.7318080203,78,14,39,1844107.4728048234,31,9,0,0,0,0,0,0,0,4,3,1,411,213,18,76.64575648,-0.024997171767754067,82.11372218,-0.06659015758674003,-1,0,0,0,0,-0.14651084242061008,2316.0847676419967,0.1409643099675546,0,0,0.07859056135562681,0,-0.007789719176415799,0,0,0.08561635695508096,0,0,0,1.444504830730339,0,0,0,0,0,0,0,0,0,0,-0.12102267425585522,0,0,0,0,0,0,0,0,0,0,0,0.29867458095848365,0,-0.19037955349345814,0,0,0,0,0,0,0,0,0,0.016888169001260778,0,0.027696659136407842,-0.9333177437530611
2020-12-11T00:00:00Z,-0.03797040702026855,-0.031275714549281464,-0.0356132367596379,-0.04191164103565481,-0.02198365000511726,-0.014403103333877731,-0.025164427273101864,-0.03956527301638035,-0.05810923670624557,-0.010724337825193442,-0.08370318797059051,-0.07502000054514368,-0.02690310178212474,-0.07019810145350536,-0.0505298396699031,-0.0019031537498096496,0,0,0,0,0,122,1823479.3949506648,93,12,252,51373846.42200494,153,17,122,48287947.801274285,64,13,80,993245.168204685,48,11,0,0,0,0,0,0,0,2,2,1,313,155,18,74.72982934,0.03780352658303032,76.64575648,-0.024997171767754067,1,0,0,0,0,0.29751192506236634,-0.3464534193268034,0,0,0,0.06936088213859604,0,7.309673793353225,0,0,0.002535392591749286,0,0,0,-0.06758197153467072,0,0,0,0,0,0,0,0,0,0,-0.3246815286624203,0,0,0,0,0,0,0,0,0,0,0,-0.4341158750357078,0,-0.24750466245951264,0,0,0,0,0,0,0,0,0,-0.4184993887892775,0,24.641569118041282,-0.7877962604152295
2020-12-12T00:00:00Z,0.01943797044912987,0.03942479351021411,0.09885909844055196,0.05190739971744107,0.04708797934348796,0.029566333951434265,0.03920488730210914,0.0550160239958295,0.021803529121402487,0.04026442504652672,0.05061201279729466,0.05431762017649122,0.08383340519015303,0.058505745640347495,0.0604580794498244,8.830531041852385e-4,0,0,0,0,0,120,4002336.8885983033,84,13,320,48067760.367824465,187,16,138,41336892.579803504,58,13,51,1133859.1933252856,32,11,0,0,0,0,0,0,0,5,4,2,406,183,17,77.55488043,0.07572159169661186,74.72982934,0.03780352658303032,1,0,0,0,0,-0.020102265966071342,0.01109649719456618,0,0,0,-0.6899193403905417,0,0.17591512423051237,0,0,-0.17230700689245504,0,0,0,0.009582566351062916,0,0,0,0,0,0,0,0,0,0,-1714.9728051560164,0,0,0,0,0,0,0,0,0,0,0,808.532112617884,0,0.29086834191631405,0,0,0,0,0,0,0,0,0,-0.2817246163607918,0,-0.8936710589960509,-0.6907646643109541
2020-12-13T00:00:00Z,0.024948744366623643,0.007361556859607932,0.008697896778150804,0.04543183222287506,0.0593445076250565,-0.007323562037851894,0.037617341991699416,0.018680179320603285,0.05975715406308946,0.020334273566760652,0.06894648373804979,0.05065138208953268,0.03875303381569206,0.04159218004542575,0.027309709439796936,-0.0010470187853968138,0,0,0,0,0,175,4009830.2400951143,101,14,309,15052033.90081713,169,16,134,3601929.6196567547,64,14,54,1420466.2672791102,32,12,0,0,0,0,0,0,0,2,1,1,392,179,18,83.42745942,0.032515178202222605,77.55488043,0.07572159169661186,1,0,0,0,0,0.05416971234739676,-0.03709189514880251,-0.10462132634976062,0,0,2.587572969172926,0,-0.2371422649360212,0,0,-0.005868166778365769,0,0,0,-0.2422635194407331,0,0,0,0,0,0,0,0,0,0,0.22105096575960714,0,0,0,0,0,0,0,0,0,0,0,0.18259240397572363,0,0.21607784580805323,0,0,0,0,0,0,0,0,0,-0.010148633400558715,0,0.3303301039604609,0
2020-12-14T00:00:00Z,0.02606771650518458,0.02343353495451228,-0.022199018023650763,0.004330722197211534,-0.008207233318594742,0.048953052014707676,-0.0064647132486287395,-0.008495553499088149,0.10462522452401868,0.005967487434348717,0.04417306198801363,-0.04251700136946779,-0.020104570364115282,0.03524748571409919,0.01926827070476822,0.001447539710816459,0,0,0,0,0,176,4331294.935952409,117,13,305,178518169.4012207,170,17,130,172104856.76058537,63,14,47,1526006.8875814923,33,9,0,0,0,0,0,0,0,4,4,1,344,165,18,86.14011813,0.012978577859769969,83.42745942,0.032515178202222605,1,0,0,0,0,-0.7330799809600764,-7.507254434564459e-4,0,0,0,0.2446665286243448,0,-0.13992646369799833,0,0,11.986941635480532,0,0,0,0.21821857300609127,0,0,0,0,0,0,0,0,0,0,-0.08068686780829926,0,0,0,0,0,0,0,0,0,0,0,-0.0814739059634052,0,0.4784370459942444,0,0,0,0,0,0,0,0,0,0,0,0,-0.00544829603627317
